date;xmr_open;xmr_high;xmr_low;xmr_close;xmr_adj_close;xmr_volume;eth_open;eth_high;eth_low;eth_close;eth_adj_close;eth_volume;btc_open;btc_high;btc_low;btc_close;btc_adj_close;btc_volume
2022.06.28;120.391068;122.979187;116.071548;117.508247;117.508247;74168794;1193.254028;1229.739014;1141.159668;1144.579224;1144.579224;14023205651;20731.544922;21164.423828;20228.812500;20280.634766;20280.634766;21381535161
2022.06.29;117.511353;124.535698;117.098953;118.694260;118.694260;89781176;1144.524414;1152.684814;1092.099121;1098.943848;1098.943848;15386286815;20281.169922;20364.156250;19937.791016;20104.023438;20104.023438;23552740328
2022.06.30;118.720451;119.454521;108.306694;112.762634;112.762634;78156771;1099.353149;1103.690430;1009.094849;1067.298828;1067.298828;16350755497;20108.312500;20141.160156;18729.656250;19784.726563;19784.726563;26267239923
2022.07.01;112.918564;116.705238;111.117874;115.039345;115.039345;73585317;1068.316772;1100.223877;1040.150757;1059.767334;1059.767334;17499453625;19820.470703;20632.671875;19073.708984;19269.367188;19269.367188;30767551159
2022.07.02;115.133095;118.856445;113.422966;116.014381;116.014381;77097757;1060.121216;1073.052612;1033.962158;1066.512817;1066.512817;9935603640;19274.835938;19371.748047;19027.082031;19242.255859;19242.255859;18100418740
2022.07.03;116.008270;117.412521;114.703957;116.368416;116.368416;60471638;1066.467407;1083.418945;1044.005615;1073.766968;1073.766968;8557248150;19242.095703;19558.269531;18966.951172;19297.076172;19297.076172;16390821947
2022.07.04;116.370834;124.133194;115.049660;124.015518;124.015518;72535864;1073.794312;1152.943848;1048.396362;1151.059082;1151.059082;13670889311;19297.314453;20258.748047;19063.066406;20231.261719;20231.261719;21594638208
2022.07.05;123.976990;124.992874;118.752716;122.339622;122.339622;89872229;1150.509766;1165.682739;1086.829956;1134.541016;1134.541016;16195518291;20225.353516;20635.466797;19341.232422;20190.115234;20190.115234;26715546990
2022.07.06;122.363937;126.687569;121.200478;125.494568;125.494568;107952769;1134.822266;1193.636719;1116.247559;1186.973999;1186.973999;15373536703;20194.619141;20595.529297;19823.511719;20548.246094;20548.246094;24598943708
2022.07.07;125.533325;131.388611;125.255814;130.436829;130.436829;87061683;1186.960938;1246.894897;1165.623169;1237.593384;1237.593384;14230795894;20547.814453;21771.816406;20296.103516;21637.587891;21637.587891;25814972520
